
##################################################
################# Solução Sudoku #################
##################################################


11	22	1	17	23	|	3	4	6	7	2	|	10	5	12	20	21	|	15	13	8	18	25	|	16	19	13	14	9	
12	19	8	13	20	|	21	24	22	25	14	|	15	3	16	23	17	|	9	11	6	10	1	|	4	18	5	2	7	
5	14	4	6	15	|	13	16	17	23	8	|	18	9	19	24	22	|	20	3	12	7	2	|	25	10	21	1	11	
16	25	3	18	18	|	9	12	15	7	10	|	2	1	6	8	7	|	5	19	4	13	14	|	20	24	22	17	23	
9	21	2	10	7	|	5	11	18	19	1	|	13	4	14	11	20	|	22	17	16	23	24	|	8	12	6	3	15	
__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	

14	17	7	9	24	|	1	15	20	22	16	|	4	2	8	19	3	|	6	8	18	21	23	|	11	5	12	10	13	
1	4	10	2	13	|	7	3	8	9	19	|	16	11	17	9	5	|	16	3	22	12	3	|	6	14	20	15	25	
19	16	6	20	9	|	14	17	11	20	23	|	21	12	24	8	15	|	4	5	2	1	3	|	22	16	25	18	14	
3	11	5	12	22	|	2	10	4	24	13	|	20	6	7	18	1	|	25	14	14	15	16	|	19	9	17	8	21	
18	23	15	16	8	|	6	5	11	12	21	|	14	10	13	22	9	|	24	25	17	19	20	|	2	1	3	7	4	
__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	

8	20	14	1	4	|	15	8	13	5	5	|	6	18	25	21	4	|	12	16	3	2	11	|	9	7	10	19	11	
7	12	9	3	16	|	19	18	23	19	17	|	5	8	15	13	11	|	25	22	10	20	21	|	1	2	4	6	14	
2	6	13	4	11	|	20	21	24	7	22	|	19	17	1	14	10	|	18	23	7	9	15	|	5	3	8	12	16	
21	18	17	5	25	|	8	7	10	3	12	|	3	16	9	18	2	|	1	14	19	4	6	|	13	11	15	20	2	
10	22	19	15	18	|	4	1	2	6	3	|	7	20	22	15	12	|	19	4	5	8	13	|	18	17	24	21	19	
__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	

17	3	20	21	1	|	12	9	5	2	6	|	23	10	20	25	8	|	7	4	24	11	18	|	14	15	19	9	22	
25	16	20	19	9	|	24	14	20	10	15	|	22	7	21	2	13	|	8	12	1	17	5	|	3	6	11	4	18	
22	15	11	23	6	|	16	13	25	15	20	|	17	19	18	4	24	|	3	2	21	14	9	|	7	8	1	5	12	
6	5	18	25	4	|	18	9	3	8	13	|	21	13	11	1	14	|	10	6	25	16	19	|	17	20	2	13	24	
17	7	24	14	2	|	17	4	19	1	11	|	4	17	13	3	5	|	13	15	20	23	22	|	10	21	23	16	25	
__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	__	

24	10	16	22	5	|	23	6	21	21	6	|	9	13	2	17	18	|	14	20	15	3	8	|	12	4	7	11	1	
15	7	25	14	6	|	11	2	1	3	4	|	12	22	10	16	19	|	21	11	9	24	7	|	3	23	18	24	6	
4	1	12	11	3	|	24	19	20	24	9	|	8	21	5	7	16	|	17	18	23	6	10	|	15	13	14	22	2	
6	9	21	8	19	|	10	20	12	15	7	|	11	14	3	15	23	|	2	1	13	22	4	|	23	25	16	24	5	
13	2	18	7	17	|	25	8	14	6	18	|	1	15	4	20	6	|	16	5	11	5	12	|	21	24	9	24	3	
